City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,dzhambeyty,50.2536,52.595,17.32,36,17,3.85,KZ,1693413676
125,east london,-33.0153,27.9116,23.52,38,0,2.57,ZA,1693413676
126,edinburgh of the seven seas,-37.0676,-12.3116,11.49,64,42,8.25,SH,1693413677
127,egilsstadir,65.2653,-14.3948,10.95,82,75,6.17,IS,1693413677
128,el granada,37.5027,-122.4694,28.81,68,0,0.0,US,1693413677
129,emerald,-23.5333,148.1667,11.86,75,2,1.99,AU,1693413677
130,emmett,43.8735,-116.4993,20.2,47,1,0.45,US,1693413677
131,emporia,38.4039,-96.1817,30.29,39,0,3.09,US,1693413608
132,enewetak,11.3474,162.3373,27.75,82,96,4.3,MH,1693413677
133,erdenet,49.0333,104.0833,14.48,76,100,0.73,MN,1693413677
134,erenhot,43.6475,111.9767,17.65,50,3,3.45,CN,1693413677
135,fale old settlement,-9.3852,-171.2468,28.18,78,17,7.98,TK,1693413678
136,faya-largeau,17.9257,19.1043,40.24,14,56,1.74,TD,1693413679
137,flying fish cove,-10.4217,105.6791,23.82,94,75,3.6,CX,1693413679
138,fort bragg,35.139,-79.006,28.91,80,40,2.06,US,1693413444
139,fort mcmurray,56.7268,-111.381,22.77,73,0,3.6,CA,1693413424
140,fort st. john,56.2499,-120.8529,14.94,77,100,3.6,CA,1693413565
141,fortaleza,-3.7227,-38.5247,31.07,55,20,10.29,BR,1693413487
142,fuglafjordur,62.244,-6.814,11.26,80,92,2.91,FO,1693413680
143,gadzhiyevo,69.2551,33.3362,14.4,72,23,3.32,RU,1693413680
144,gamba,-2.65,10.0,23.63,84,93,3.03,GA,1693413680
145,gebeit,21.0667,36.3167,32.52,31,52,5.75,SD,1693413680
146,gejiu,23.306,103.1635,12.76,84,51,2.11,CN,1693413681
147,general conesa,-40.1,-64.4333,15.87,17,10,11.32,AR,1693413681
148,georgetown,5.4112,100.3354,28.96,84,20,0.0,MY,1693413610
149,geraldton,-28.7667,114.6,17.23,59,0,4.63,AU,1693413681
150,gisborne,-38.6533,178.0042,9.15,73,89,1.49,NZ,1693413681
151,gizo,-8.103,156.8419,26.13,82,98,6.58,SB,1693413681
152,glace bay,46.1969,-59.957,21.55,98,100,4.12,CA,1693413681
153,golere,16.2557,-14.1017,34.3,43,82,3.5,SN,1693413681
154,gorontalo,0.5412,123.0595,22.14,91,24,1.33,ID,1693413681
155,grants,35.1473,-107.8514,24.13,41,0,5.14,US,1693413642
156,grytviken,-54.2811,-36.5092,-1.73,77,43,4.41,GS,1693413681
157,gualdo tadino,43.2317,12.781,19.37,83,99,7.15,IT,1693413681
158,guane,22.2025,-84.0875,30.44,67,73,4.89,CU,1693413681
159,guangyuan,32.442,105.823,20.98,89,1,0.54,CN,1693413682
160,guayaramerin,-10.8368,-65.3614,35.03,43,20,5.66,BO,1693413682
161,gumel,12.6279,9.3912,34.17,40,91,2.21,NG,1693413682
162,gwadar,25.1216,62.3254,26.35,82,4,3.67,PK,1693413682
163,gwoza,11.1036,13.713,21.22,89,78,5.4,NG,1693413682
164,hadibu,12.65,54.0333,26.71,76,39,6.18,YE,1693413682
165,haiku-pauwela,20.9219,-156.3051,25.02,78,40,3.13,US,1693413682
166,haimen,23.1935,116.6142,28.94,87,100,4.31,CN,1693413682
167,hamilton,39.1834,-84.5333,24.03,64,0,7.2,US,1693413570
168,hammerfest,70.6634,23.6821,12.25,94,75,3.6,NO,1693413549
169,happy valley-goose bay,53.3168,-60.3315,10.17,87,100,3.09,CA,1693413682
170,harstad,68.799,16.5293,13.66,97,62,2.68,NO,1693413682
171,hasaki,35.7333,140.8333,26.28,89,85,5.38,JP,1693413683
172,havre,49.5833,0.3333,17.41,63,20,5.14,FR,1693413683
173,hawaiian paradise park,19.5933,-154.9731,23.91,95,100,2.06,US,1693413639
174,heinola,61.2056,26.0381,16.11,98,100,2.71,FI,1693413683
175,heniches'k,46.1759,34.8034,24.74,59,0,7.77,UA,1693413683
176,hereford,52.0568,-2.7148,19.47,61,98,1.79,GB,1693413683
177,hermanus,-34.4187,19.2345,15.45,95,77,1.8,ZA,1693413683
178,hilo,19.7297,-155.09,26.27,90,100,2.06,US,1693413683
179,hithadhoo,-0.6,73.0833,28.21,71,100,2.4,MV,1693413683
180,hobyo,5.3505,48.5268,25.4,80,95,12.07,SO,1693413683
181,holualoa,19.6228,-155.9522,22.91,80,0,3.09,US,1693413683
182,homer,59.6425,-151.5483,12.09,86,75,2.06,US,1693413683
183,horta,38.5333,-28.6333,23.9,86,40,4.63,PT,1693413683
184,hotan,37.0997,79.9269,25.67,18,0,1.38,CN,1693413683
185,hovd,48.0056,91.6419,18.98,43,93,2.81,MN,1693413684
186,howrah,22.5892,88.3103,31.0,79,40,0.0,IN,1693413684
187,huarmey,-10.0681,-78.1522,22.98,68,36,4.42,PE,1693413684
188,i-n-salah,27.1935,2.4607,41.82,15,0,4.61,DZ,1693413684
189,ierapetra,35.01,25.7353,28.97,61,53,0.89,GR,1693413684
190,ilhabela,-23.7781,-45.3581,21.52,78,51,1.47,BR,1693413484
191,ilulissat,69.2167,-51.1,5.01,87,75,1.54,GL,1693413684
192,ingeniero jacobacci,-41.3427,-69.5448,5.99,38,21,15.2,AR,1693413684
193,inhambane,-23.865,35.3833,21.99,73,40,3.09,MZ,1693413684
194,inirida,3.8653,-67.9239,29.31,69,93,1.1,CO,1693413684
195,invercargill,-46.4,168.35,8.9,72,67,4.47,NZ,1693413684
196,iqaluit,63.7506,-68.5145,5.85,70,75,3.09,CA,1693413684
197,iquique,-20.2208,-70.1431,20.02,67,7,3.74,CL,1693413512
198,isafjordur,66.0755,-23.124,11.02,76,75,3.09,IS,1693413685
199,isangel,-19.55,169.2667,22.86,94,100,5.74,VU,1693413685
200,iskateley,67.6803,53.1512,11.11,71,77,3.84,RU,1693413685
201,isla vista,34.4133,-119.861,35.19,58,0,1.54,US,1693413685
202,island harbour,50.724,-1.2758,19.99,69,97,2.24,GB,1693413685
203,istmina,5.1605,-76.684,32.73,60,83,2.11,CO,1693413685
204,itoman,26.1247,127.6694,29.43,91,75,4.63,JP,1693413685
205,ixtapa,20.7,-105.2,31.79,79,40,0.45,MX,1693413685
206,jalai nur,49.45,117.7,14.93,56,99,3.46,CN,1693413685
207,jamestown,42.097,-79.2353,16.37,88,100,5.66,US,1693413492
208,jiangkou,25.4872,119.1986,26.42,87,91,9.55,CN,1693413685
